Deutsch,Englisch
entscheidender Faktor,key factor
Entfremdung,estrangement
Feindseligkeit,antagonism
moralische Überlegenheit,moral superiority
etw. beheben,resolve
sich geschlagen geben,admit defeat
Kolonien gründen,establish colonies
im Zuge von etw.,in the course of
Niedergang,decline
gemeinsame Bräuche,shared tradition
jdm. etw. auferlegen,impose
jdn. von etw. abhalten,discourage
sprunghaft ansteigendes Interesse,surge of interest
Tat,deed
gesamt,entire
Auseinandersetzung,controversy
"die Tatsache hervorheben, dass",highlight the fact that
Vermächtnis,legacy
einen tiefgreifenden Einfluss auf etw. haben,have a profound effect on
"Anspruch, Ambition",pretension
außergewöhnlich,exceptional
"dafür sorgen, dass etw. geschieht",ensure
den Imperialismus ungeschehen machen,erase imperialism
Überlebenswille,will to survive
Zensur,censorship
in der Geschichte verwurzelt,rooted in history
veraltet,outdated
in eine Position hineingeboren werden,be born into a position
eine Position innehaben,hold a position
etw. berücksichtigen,take into account
zu etw. beitragen,contribute to
über ein Thema uneinig sein,be divided over a topic
etw. abschaffen,abolish
Neid,envy
einzigartig,unique
jdn./etw. unterschätzen,underestimate
subtil,subtle
gute Manieren beibehalten,maintain good manners
lächerlich,ridiculous
Ursprung,origin
absurd,ludicrous
Kipppunkt,tipping point
Unterdrücker,oppressor
etw. offenlegen,reveal
etw. erhalten,sustain
unerlässlich,vital
ein Licht auf etw. werfen,cast a light on
charakteristisch,distinctive
widersprüchlich,contradictory
etw. hervorrufen,generate
"notorisch, bekanntlich",notorious
indigene Sprache,indigenous language
eine Sprache fließend sprechen,be fluent in
etw. hat keinen Wert,there is no worth in
"es hat keinen Wert, etw. zu tun",there's no point in doing
falsch,inaccurate
Möglichkeiten eröffnen,open up opportunities
gelegentlich,occasional
auf etw. aufmerksam machen,raise awareness of
in etw. verschlüsselt sein,be encoded in
"geneigt sein, etw. zu tun",be inclined to do
Verfolgung,persecution
Einwand gegen etw. erheben,raise objections to
zurechtkommen,cope
zwecklos,futile
etw. für etw. anderes opfern,sacrifice for
etw. wiederbeleben,revive
Gegner,opponent
bei etw. die Wahl haben,have a choice about
in Rückstand geraten,fall behind
um jdn. besorgt sein,be concerned for
etw. berücksichtigen,take account of
jdm. etw. vorenthalten,deny
stark bleiben,remain strong
etw. knapp verfehlen,miss narrowly
Volksentscheid,referendum
ausgeprägte nationale Identität,distinct national identity
Unabhängigkeitsforderung,call for independence
zutiefst verwurzelt,profoundly rooted
irreführend,misleading
scheinbar,apparent
trügerisch,deceptive
anders als jd./etw. sein,be dissimilar to
Streitigkeit,row
Ausnahme,exception
Meilenstein,milestone
Regentschaft,reign
Widerstreben,reluctance
Respekt genießen,enjoy respect
eine Institution verkörpern,embody an institution
ein Bedürfnis aufschieben,defer a need
etw. ersetzen,replace
"nominelles Oberhaupt; nur dem Namen nach Oberhaupt",nominal head
das Vereinigte Königreich bereichern,enrich the UK
jdn./etw. gleich behandeln,treat equally
Fokusgruppe,focus group
verzweifelt,despairing
etw. äußern,voice
"verwahrlost, heruntergewirtschaftet",rundown
zutiefst gespalten,deeply divided
von etw. auseinandergerissen werden,be torn apart by
ein Gefühl der Ungerechtigkeit empfinden,feel a sense of injustice
etw. als etw. anderes abtun,dismiss as
Vertrauen in etw. verlieren,lose faith in
mit etw. zu kämpfen haben,grapple with
von etw. enttäuscht sein,feel let down by
greifbar,palpable
Auswirkung,impact
bewohnt,inhabited
versöhnlich,conciliatory
"Erbe, Kulturgut",heritage
"Ängstlichkeit, Sorge",anxiety
Anspruch auf etw. haben,be entitled to
oft austauschbar verwendet werden,be often used interchangeably
örtlich gelegen,located on
regiert werden,be governed
individuelle Rechte der Selbstverwaltung,individual rights of self-government
Auswirkungen von etw.,consequences of
Forderungen nach Unabhängigkeit,demands for independence
Staatsoberhaupt,head of state
Mehrheit von etw.,majority of
zugunsten von jdm./etw.,in favour of
konstitutionelle Monarchie,constitutional monarchy
wirtschaftliche und kulturelle Beziehungen,economic and cultural ties
eine wesentliche Rolle spielen,play a significant role
schrittweise Entkolonialisierung,gradual decolonization
